sample	alias	n_reads	pass_rate	total_bases	mean_len	median_len	n50_len	mean_q
TOTI_ZYMO_LSK114	barcode50	3	1	1559	519.666666666667	538	538	9.70534666666667
TOTI_ZYMO_LSK114	barcode48	3	0.333333333333333	8026	2675.33333333333	550	7046	7.10718833333333
TOTI_ZYMO_LSK114	barcode80	3	0	1195	398.333333333333	355	355	6.23086633333333
TOTI_ZYMO_LSK114	barcode43	3	0.666666666666667	3054	1018	639	2030	8.529197
TOTI_ZYMO_LSK114	barcode86	3	0.333333333333333	8803	2934.33333333333	374	8082	7.69640033333333
TOTI_ZYMO_LSK114	barcode17	3	0.666666666666667	1010	336.666666666667	340	340	7.79998233333333
TOTI_ZYMO_LSK114	barcode32	2	0.5	497	248.5	248.5	273	8.136022
TOTI_ZYMO_LSK114	barcode90	2	0.5	1815	907.5	907.5	1349	7.209874
TOTI_ZYMO_LSK114	barcode59	2	0.5	793	396.5	396.5	503	7.6893975
TOTI_ZYMO_LSK114	barcode61	2	0	3048	1524	1524	2740	7.2430845
TOTI_ZYMO_LSK114	barcode73	2	0	595	297.5	297.5	417	4.845657
TOTI_ZYMO_LSK114	barcode81	2	0.5	513	256.5	256.5	263	7.847793
TOTI_ZYMO_LSK114	barcode41	2	0	819	409.5	409.5	426	7.2941385
TOTI_ZYMO_LSK114	barcode51	2	0	485	242.5	242.5	267	4.713207
TOTI_ZYMO_LSK114	barcode63	2	0.5	2928	1464	1464	2260	7.162582
TOTI_ZYMO_LSK114	barcode62	2	0	1052	526	526	684	6.203403
TOTI_INVITRO_LSK114	barcode57	1	0	296	296	296	296	4.59347
TOTI_INVITRO_LSK114	barcode14	1	0	3394	3394	3394	3394	7.289218
TOTI_INVITRO_LSK114	barcode36	1	0	495	495	495	495	3.198502
TOTI_INVITRO_LSK114	barcode90	1	0	171	171	171	171	3.399534
TOTI_INVITRO_LSK114	barcode33	1	0	277	277	277	277	4.842005
TOTI_INVITRO_LSK114	barcode44	1	0	325	325	325	325	3.721753
TOTI_ZYMO_LSK114	barcode28	1	0	655	655	655	655	6.639952
TOTI_ZYMO_LSK114	barcode38	1	0	586	586	586	586	5.991506
TOTI_ZYMO_LSK114	barcode03	1	0	700	700	700	700	4.836538
TOTI_ZYMO_LSK114	barcode11	1	0	312	312	312	312	5.397967
TOTI_ZYMO_LSK114	barcode77	1	1	1027	1027	1027	1027	9.605705
TOTI_ZYMO_LSK114	barcode35	1	0	639	639	639	639	4.161406
TOTI_ZYMO_LSK114	barcode04	1	0	1044	1044	1044	1044	6.616451
TOTI_ZYMO_LSK114	barcode14	1	0	8404	8404	8404	8404	5.275236
TOTI_ZYMO_LSK114	barcode92	1	0	3878	3878	3878	3878	5.233011
TOTI_ZYMO_LSK114	barcode10	1	1	2292	2292	2292	2292	9.358637
TOTI_ZYMO_LSK114	barcode27	1	0	402	402	402	402	6.097709
TOTI_ZYMO_LSK114	barcode47	1	0	731	731	731	731	5.923115
TOTI_ZYMO_LSK114	barcode29	1	0	525	525	525	525	5.717483
TOTI_ZYMO_LSK114	barcode44	1	1	2510	2510	2510	2510	9.391779
