sample_1	sample_2	distance	host	platform	Vregion	workflow	method	db	DNA_isolation_method	sample_nr	sample_name	library
107	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_1	0.581410551651388	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
108	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_1	0.487311324356657	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
109	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_Z_1	0.339266362352632	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
110	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_4	0.953618216156376	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
111	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_1	0.88508550523241	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
112	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_3	0.833122988342656	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
113	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_Z_3	0.412453266868435	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
114	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_I_4	0.434199973752898	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
115	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_MN_3	0.32021255658335	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
116	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_1	0.561787416720096	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
117	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_3	0.450536336637691	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
118	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_Z_4	0.761704953663175	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
119	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_2	0.520003729212553	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
120	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_1	0.493372206505491	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
