genus	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Fundicoccus	61	59	7	10	11	9	2	3	3	1	11	15	12	24	11	11	32	16
Furfurilactobacillus	87	145	4	9	10	10	2	0	0	1	16	15	17	36	12	16	32	10
Fuscovulum	9	68	3	2	4	4	0	0	0	1	3	2	2	11	2	1	12	3
Fusobacterium	26594	35161	1829	6858	5941	4276	12328	23172	17426	20800	2516	4121	8325	5596	4562	5925	18335	4591
Galbibacter	6	11	0	0	0	1	3	0	0	1	0	0	0	1	0	1	0	0
Gallaecimonas	14	13	2	6	1	1	5	5	1	3	3	1	9	5	1	0	1	0
Gallibacterium	122	135	12	9	18	12	13	22	5	12	24	23	40	54	17	28	70	27
Gaprivervirus	0	12	1	1	0	1	5	7	9	8	0	2	2	0	2	1	10	2
Gardnerella	66	48	3	6	4	3	0	1	2	3	10	11	12	30	14	16	21	14
Geitlerinema	4	11	0	0	0	3	0	0	0	1	0	1	2	0	0	1	1	0
Gelria	10	15	1	3	3	6	8	2	1	4	4	3	12	5	1	5	10	2
Gemella	238	308	34	28	37	29	12	18	14	17	50	36	78	87	50	64	129	74
Geminocystis	21	43	3	13	7	6	4	7	4	4	9	10	22	31	12	19	40	24
Gemmata	9	74	6	0	0	0	1	1	1	1	1	2	1	0	1	0	1	1
Gemmatimonas	5	19	5	4	5	4	0	0	1	0	2	4	0	5	1	2	2	1
Gemmatirosa	9	128	4	3	3	7	0	0	0	0	2	6	5	20	4	3	12	4
Gemmobacter	2	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Geoalkalibacter	12	32	2	5	5	4	0	0	1	0	0	1	6	6	2	1	6	2
Geobacillus	77	46	3	9	7	4	4	3	5	1	11	9	13	30	9	10	35	20
Geobacter	55	188	6	18	16	17	0	0	3	4	13	5	15	35	8	7	28	11
Geodermatophilus	28	76	8	5	5	5	0	0	0	0	9	13	1	18	3	6	14	6
Geomonas	23	65	7	11	11	16	6	2	0	2	14	15	22	43	11	9	35	12
Georgenia	36	162	10	4	7	10	0	0	0	0	6	21	15	38	10	10	31	5
Georhizobium	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geosporobacter	67	98	20	19	18	38	4	14	7	4	26	23	32	44	21	17	48	22
Geotalea	22	41	3	2	3	5	1	0	0	0	4	2	6	8	4	5	8	5
Geothrix	31	37	2	2	5	6	6	0	2	2	6	5	1	6	3	2	13	2
Geovibrio	4	7	4	5	3	4	0	1	2	1	2	2	4	5	1	2	4	3
Gephyromycinifex	11	10	3	5	7	6	0	0	0	1	0	2	3	8	5	4	7	2
Gibbsiella	2	23	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0
Gilliamella	82	79	5	3	9	11	15	14	9	8	7	5	13	24	12	7	25	17
Gillisia	15	4	2	0	1	0	0	1	0	0	5	2	6	7	1	3	4	3
Gilvibacter	12	15	4	5	7	3	0	0	1	0	10	3	9	14	12	4	21	10
Gimesia	117	24	2	0	4	3	5	3	2	6	2	6	0	5	2	3	8	1
Glaciecola	2	0	0	0	1	2	0	0	0	0	2	0	2	5	0	1	1	0
Glaciibacter	6	5	2	3	1	3	0	0	0	0	1	0	3	4	1	0	3	1
Glaciihabitans	5	3	0	1	1	0	0	0	0	0	0	2	1	1	0	0	1	0
Glaciimonas	3	5	0	2	2	1	1	0	1	1	1	4	2	3	0	0	2	0
Glaesserella	9	16	12	15	13	17	13	22	15	14	12	13	24	34	17	11	52	17
