genus	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Hungatella	3600	1430.42972166433	1849.15126457821	1172.71988732788	2134.96190840645	2752.58138628023	2958.53683118569	907.357257702882	838.63668321911	882.720873093087
Hydrogenispora	0	25.0301542580542	21.9161341406332	23.8516113035324	34.0243168037466	51.9892995825774	47.9882924070087	0	0	16.0349396052989
Hydrogenoanaerobacterium	0	98.8028841818467	102.517195365255	86.1176711737035	197.029328865395	212.74669289291	266.129845852999	68.6934946694559	55.5878327199199	54.2586820175957
Ihubacter	0	354.53929692167	438.359742210046	240.447105791495	491.090079355037	578.714277102466	646.379361375917	196.458584097905	162.848823993781	208.582646575208
Intestinibacillus	0	51.1460666368585	59.9391141063551	38.1404460419904	80.9086033750069	117.646832771464	113.465850831085	25.6227303411815	24.6074066863521	35.364649967496
Intestinibacter	0	193.094034954932	251.282524622169	114.643344514025	716.139772112305	951.974275725062	1016.12921038874	255.849660994434	262.140510653523	252.284982521388
Intestinimonas	23346	1109.3802253322	1465.28242258142	848.951351032509	1623.89775114546	2157.98588220477	2293.89495016415	705.869915578543	584.394294286856	643.314947648504
Jonquetella	0	12.1254397335132	17.1115040471288	0	14.1372173634305	26.7065361579946	34.9112492493317	0	0	0
Kiloniella	0	80.6903265515882	87.6652583926815	68.6080202478798	57.4688583040458	100.349512925945	124.538161069775	30.0580260129284	31.0600537851924	33.0720629351461
Kineothrix	0	390.129279179099	535.057981741892	312.340299089662	730.911226148115	918.87736789501	914.585776604031	312.901340413527	298.406730997485	278.842613852543
Klebsiella	6453	0	0	0	42.2548524552042	73.0608677441337	80.4372311417443	0	0	0
Laceyella	0	352.515035249627	472.180024646104	274.785718392041	594.770150350609	669.356976630757	707.244794937639	219.356171045503	214.025654234416	241.137599002592
Lachnobacterium	200295	61.9968721921243	89.2435860847106	64.1861995610345	106.965139208242	158.508997055991	183.679194837762	66.8621345411721	32.2106662713275	53.6154282442613
Lachnoclostridium	135792	1245.57639666115	1593.31803329575	1007.60540675388	1513.87750149427	2048.94644684591	2188.73972876135	743.243687156677	742.515154639382	835.121126121438
Lachnospira	0	8780.44199347093	11693.5958176459	7479.70532014102	14114.6696287107	19250.5283515452	20338.856999582	6404.71349033489	6517.47880777997	6518.13447462209
Lachnotalea	6300	0	27.40802681081	0	11.3281517272014	26.9257776386128	37.8842760388958	0	0	0
Lacrimispora	0	3689.82071332722	4556.39555946609	2981.29419586287	5041.20468951184	6518.68756389556	7065.03086648006	2355.64940527426	2097.05007874421	2202.4284194923
Lactivibrio	0	41.6906075908073	40.7859768340831	29.9339242336575	50.3850629474511	53.9517962133569	60.3635792814074	21.0509416420296	24.0449181142431	25.6539244685732
Lactobacillus	34020	696.354257803502	896.380765672327	572.79465832794	1108.5424057168	1420.01823765977	1618.90416246515	494.077315198811	452.022227539206	511.545866334337
Lactococcus	6813	35.0345219590045	82.0748095392904	37.0497676380686	69.71194514054	121.072137781841	117.001201944111	19.036749808188	42.0813631954575	34.0742466604536
Lactonifactor	0	29.399545545724	39.7841445313941	14.0299037227383	49.8940759107711	51.7087916452314	69.1860186906524	30.5639560402955	17.3427751504653	15.6717389606835
Lawsonia	0	11.0485804864567	0	0	0	0	0	0	0	0
Lawsonibacter	49788	0	0	0	0	0	0	0	0	0
Limosilactobacillus	0	161.202885111204	108.099092161995	132.775408861553	82.1320016765929	134.129776899916	160.069350158778	111.214835438931	25.048437787276	89.1943515438373
Listeria	0	120.143839286185	79.072416758181	79.1062644677953	65.0463278062343	89.8164695482172	114.060718221431	72.3459710499473	29.0561058596539	68.1536202680173
Longibaculum	3168	230.249581429432	233.816222825074	170.568688793764	365.306301080074	517.9125904882	562.245213174126	277.538883668753	280.126754145689	196.977625013644
Longicatena	0	0	0	0	14.2708040439537	27.0839713272592	19.192773206244	0	0	14.8601034619269
Lutispora	0	88.1538182710617	119.732360335871	87.2270052492886	148.941427994277	192.871642823726	193.186097267223	71.9235377495907	60.4544246283015	71.3129795418986
Macrococcus	0	0	0	0	0	25.7626627308846	21.4621324385972	0	0	0
Mageeibacillus	0	0	0	0	15.0932652800805	14.0209721359328	14.8198769572775	0	0	0
Mahella	0	19.5346564425462	20.4237208791814	16.5499337142359	47.475526625717	47.555968720463	49.6619997568202	0	0	0
Mailhella	0	15.020317580664	20.0211704253754	15.0518964228596	0	11.0493099953941	0	0	0	0
Marvinbryantia	41067	170.419291708778	195.151716921161	130.864105164145	228.231127005653	301.542052805238	330.797001318853	101.711061395161	109.563436658233	115.315447250863
Massilioclostridium	3789	0	0	0	0	0	0	0	0	0
Massilistercora	0	86.7340985917681	115.766854873663	62.9385170390507	178.1754327711	224.780024293316	222.48727290077	56.1863121896557	75.8010506825391	55.7701572378298
Mediterraneibacter	17055	14782.5224630217	18772.9807912206	12205.9471793593	16317.9190649006	21263.6999679976	23112.7851774796	9288.47576536262	9209.03506266622	9803.1864602182
Megamonas	194553	4091.74960019391	5359.21802650052	3336.32509223389	7809.9835039834	10635.4419159378	12320.5972307144	2782.53991435822	2623.43875764624	3024.70418792122
Merdibacter	6768	0	0	0	0	0	0	0	0	0
Merdimonas	0	0	10.3807365447339	0	0	0	13.0577945942628	0	0	0
Methanobrevibacter	84303	0	0	0	0	0	0	0	0	0
missing	0	38048.7850503732	49178.7789910413	31345.3398842183	61822.2663073895	82314.8156834749	88167.8973193577	23298.5739793356	22974.4763838783	22982.4463843592
Mobilisporobacter	0	0	0	0	0	11.2025234693778	0	0	0	0
Mobilitalea	0	62.6323837367572	103.893889143698	57.1493844630318	86.7852549764452	107.675176594137	112.775562076096	57.3460331137318	58.4643944756755	52.8643631867146
Monoglobus	43371	5372.64004349742	6816.4162399708	4452.63697724034	9485.54412548863	12772.2739167411	14644.0863656095	3207.28828896553	3037.6173318054	3327.07763628017
Mordavella	5382	0	0	0	0	0	0	0	0	0
Murimonas	0	550.544258043249	703.952520384377	419.247270108276	809.691364519437	1094.49593030601	1188.96764865665	346.46119218663	327.277277311069	344.125493908218
Mycoplasma	5220	0	27.5188711263463	0	34.0883058912303	80.0361568763678	63.9184737167124	0	0	0
Natranaerovirga	0	34.0669046993761	32.7957541592966	19.7978186364813	38.7126027026884	54.6156370245135	38.1070879395436	15.9252187851975	24.8310187754307	16.0248052006744
Negativibacillus	22194	461.31435856325	687.75373097035	433.488673899408	794.722215478891	1021.95947910337	1190.60951017135	276.915744414341	240.782384185291	279.87571474104
Neglecta	20952	1038.82453922333	1139.13999990353	809.724945248409	1576.37840095039	2046.88730126062	2316.83582093912	540.206067902603	451.894550430041	533.082214140281
Niveispirillum	0	0	0	0	18.6394520668021	14.0083439803654	34.7831245335813	0	0	0
Odoribacter	135666	683.823793229717	862.768826808401	524.704817360756	1222.87062331901	1496.23901544943	1664.89581536464	428.834466068436	428.829126609149	432.943369332822
Okeania	0	0	0	0	0	14.0080859203015	16.008466309803	0	0	0
Olegusella	0	11.2857367159519	14.1747177063101	0	12.3824016601487	19.6567658022469	24.9416906788565	0	0	0
Oribacterium	0	52.5777319501291	47.3825124383266	35.7424121381372	0	0	23.1235149197437	16.6732453718617	20.0466368525819	32.7893599930341
Oscillibacter	398745	4187.48631375431	5328.60824269319	3512.32225538533	6828.43978617038	9033.10048166347	9702.31103171109	2383.25070824483	2256.90205774546	2441.36164650351
Oxalobacter	4032	47.0566853205594	72.0660000525916	49.0659084936585	63.0449023189691	64.0381550937079	88.1510792484314	27.0522234116355	28.0542421285609	29.0633280339163
Oxobacter	0	28.6125811247524	33.0465625031733	21.3025644140658	40.938010328438	68.4809741620592	66.3220607788332	19.1339546998206	20.0240816038665	0
Paenibacillus	0	15.0399057991154	0	0	25.6606704240118	29.6563201246424	34.549686099997	0	0	0
Paeniclostridium	0	0	0	0	0	0	18.0729219185641	0	0	0
Paludicola	0	103.446792070128	141.11585479479	78.1178776690791	168.081824906791	210.474264780435	220.765586499114	64.8102662053657	61.7283319298795	80.0624658542841
Papillibacter	0	821.986054235213	1084.04188851732	669.601902937037	1279.00582989568	1904.49264124808	1953.49847489959	515.096673186867	504.741580811364	436.982163505767
Parabacteroides	530001	1610.1465274052	2060.31192005879	1267.59867255113	1224.85503900522	1537.95649730139	1541.08153077079	1110.94281934139	1122.31938836826	1009.44837047473
Parasutterella	37935	192.231565696069	263.241083527442	136.182929696685	99.4306696652423	135.08048340079	164.086898811897	227.439063497825	146.282833956067	153.334109972041
