superkingdom	phylum	class	order	family	genus	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acutalibacter	98.7749688714299	84.9122774203493	74.3024850342079	321.521289935715	151.06610796312	172.235565465018	73.4096128330526	42.1864051335153	110.627488514149
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum	2640.67635292432	1873.20387414762	1674.76571700783	6345.04931348667	2417.89502923303	3513.55888393693	1694.80391087299	1105.60555403011	2556.11332314114
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus	457.675278839047	337.762549670153	286.75037153819	1330.6582653974	565.209025435707	672.76477728163	313.324894528964	232.508893273458	504.068690209002
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	347.168912700365	292.274108446961	246.013531192099	888.657532855739	320.438097807849	539.491688444481	217.809022352097	164.31359689526	372.206041216074
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Caproiciproducens	497.302764508364	435.238980152674	305.136565724293	1430.43484443338	596.861623600699	768.767610762477	330.883263630937	270.62866468636	530.6983757733
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Drancourtella	279.124128413806	184.4937449789	155.012377408643	704.91535943125	222.670267757309	414.0434089617	201.052388508239	113.392360899546	304.178169956302
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	48129.4620182411	31625.8394217799	32893.1801734309	119331.394682046	41086.1596626038	69662.8137565358	31155.6999805487	17516.2304306664	51527.8177438157
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	1206.84460385334	809.619162152885	834.611067105922	2866.63796466837	1009.95692148738	1675.14453752325	716.439692857751	473.277219487736	1303.92843386915
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fournierella	0	0	13.4830763020556	16.4947127457776	0	10.9987913960324	10.0241412804756	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	29.934315755554	27.3176707743062	42.716702771223	57.4284586496907	25.5341320665872	47.2630086301037	31.6565049009808	14.1404315634566	48.1120477328318
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Harryflintia	103.470690029115	67.9486333219214	50.6101385077034	184.163662221619	103.46875769468	120.533301111301	61.1830367926404	39.3850481118768	108.368791983124
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Hydrogenoanaerobacterium	66.2496705865108	38.9345329420414	41.6215347421457	128.208638038503	48.5077917985664	99.4546584195088	63.196225685434	19.0536688829615	70.5486293431402
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Negativibacillus	19.6207383806174	25.5360047531237	19.8249263971343	54.3776887320702	26.9555851722807	32.9714434220707	14.0595278429301	11.1922397732408	27.6167061889082
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Neglecta	710.529468844077	555.504325490289	464.448985836484	1869.97674519445	840.277287517716	1061.63440998733	483.284836041373	343.848431533846	694.266089934037
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Paludicola	119.436390994613	90.3472185843431	77.1086363957157	298.497090405781	109.82485126778	145.124685289039	90.682410154542	48.1215773563416	135.094205230467
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	0	0	0	17.5019227069699	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Phocea	141.40604615674	104.453768852667	112.451780835278	374.349912896341	139.239597262176	198.093467241376	81.24820936635	70.7510206935134	146.596238290749
