species	Canis_lupus	FR	Homo_sapiens
Phocea massiliensis	664.153730986206	807.580445038228	549.527533745603
Pseudobutyrivibrio ruminis		36.4091901153814	
Pseudobutyrivibrio xylanivorans			1340.56660967799
Pseudoclostridium thermosuccinogenes	1937.97791124062	9593.01331074793	
Pseudoflavonifractor capillosus		271.819012481941	381.130178183146
Pseudoflavonifractor phocaeensis		1798.04183149441	1711.76030275606
Pseudomonas aeruginosa	11		
Raineyella antarctica	38		
Raoultibacter timonensis	14	872.910337346371	1187.00000052806
Rhizobium lemnae		122	
Robinsoniella peoriensis	3590.96151329997	837.9749476914	17.9418401862879
Romboutsia ilealis	625.138015431262	93.5267204610665	
Romboutsia timonensis	12413.0066756768	6287.02912359457	
Roseburia hominis	5484.66271320466	73107.5933635139	14158.3916412819
Ruminiclostridium cellobioparum		81.4194010112281	
Ruminiclostridium cellulolyticum		244.774537541538	
Ruminiclostridium hungatei	147.263786392627	74.7896464814457	
Ruminiclostridium josui	296.784714262115	464.655417513647	
Ruminiclostridium papyrosolvens		87.6225219902163	
Ruminococcus bicirculans		29551.6969854819	
Ruminococcus bromii		67636.4304189555	65256.3890614196
Ruminococcus callidus		57.141641009573	
Ruminococcus champanellensis		24954.7865405462	
Ruminococcus flavefaciens		202.135059945833	
Ruthenibacterium lactatiformans	4362.3816969808	1060.77331800608	764.747125834075
Sellimonas intestinalis	31.7807529567127		75.3672154660467
Slackia faecicanis	24		
Slackia piriformis	1277.00006865555		
Solobacterium moorei	305.326996840638		
Sporobacter termitidis	882.184058891699	3670.19304764533	293.542484098018
Sporosarcina psychrophila	33		
Staphylococcus aureus	13	14	41
Streptococcus alactolyticus	290545.945270165	176	191.000000000012
Streptococcus equinus	5985.65364638627		56.2457100143663
Streptococcus gallolyticus	102.948060521309		
Streptococcus gordonii	18.1070665565137		
Streptococcus infantarius	628.712370172949		
Streptococcus lutetiensis	8479.42624831659		
Streptococcus pasteurianus	374.504615341995		
Streptococcus salivarius		1126.66949969995	122.158979361005
Streptococcus sp. A12		133.45076441252	
Streptococcus sp. LPB0220		18.8443701371547	
Streptococcus thermophilus		253.330500300048	138.595310624616
Streptococcus urinalis	46.0008596247754		
Streptococcus viridans		160.704865450326	
Subdoligranulum variabile		666.295038369999	
Succinivibrio dextrinosolvens	939		
Sutterella massiliensis	584.350545045897		
Sutterella stercoricanis	7296.65345051765		
Sutterella wadsworthensis		511	
Syntrophococcus sucromutans			901.520044866875
Terasakiella pusilla			14.1241200598795
Terasakiella sp. SH-1			297.828255360076
Terrisporobacter mayombei	17.1725378856193	1136.40348055708	
Turicibacter sanguinis		57.7963405477884	
Turicibacter sp. H121	767	276.205542333499	
Tyzzerella nexilis	6665.28483525361	6437.04662390206	189.814076980225
Vallitalea guaymasensis		557.546414281038	
Vallitalea pronyensis		24.7699211959039	
Vampirovibrio chlorellavorus	269	4297.00000000001	361
Veillonella rogosae	290	449	398
Victivallales bacterium CCUG 44730		422	
[Clostridium] cellulosi		207.549290946086	
[Clostridium] colinum	3023.43319515301		
[Clostridium] dakarense	12.3332719462031		
[Clostridium] leptum	515.880188161435	1316.77176960084	1388.34248436909
[Clostridium] methylpentosum		236.165472743669	206.211602958888
[Clostridium] polysaccharolyticum		1227.56270892228	
[Clostridium] populeti		53.8002455749847	
[Clostridium] saccharogumia	222.315627130302	107.778265634826	
[Clostridium] scindens		51.0945382405964	
[Clostridium] spiroforme	1445.19955379327	192.567796129019	209
[Clostridium] symbiosum		238.239125164458	1065.60476251464
[Clostridium] viride		148.444449928467	
[Eubacterium] brachy	40084.125848988		
[Eubacterium] rectale		81469.5168938628	
[Eubacterium] siraeum		73057.8759046995	
[Ruminococcus] faecis	872.49922011407	46852.3890648391	677.755428781833
[Ruminococcus] gnavus	15232.0681812509	15468.34768932	34335.0850150825
[Ruminococcus] lactaris	279.528331853955	695.703136256102	43.0602548489462
[Ruminococcus] torques	21627.7389003188	1800.55411385721	6680.06164616757
