species	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Blautia glucerasea	0.0039843332047497	0.00362045024531445	0.00344469185544162	0.00474225629743104	0.00467839522649483	0.00479678708426228	0.0036111743358981	0.00408205749189304	0.00406919896229231
Blautia hansenii	8.94052000096902e-05	7.41058869730498e-05	0.000156113126181399	0.000107685496769367	0.000120208605420462	9.21324540677682e-05	0	0	0.00010868139409618
Blautia hominis	0.000102518883827096	0.000112777345410532	0.000113636161849492	6.38373561285836e-05	7.1794698295743e-05	7.04828549361504e-05	0.000111023022147666	0.000106696184591268	0
Blautia hydrogenotrophica	8.73945008627213e-05	6.27947621178791e-05	0	8.01194825062371e-05	0.000103656172644695	8.93813911129425e-05	0	0	0
Blautia luti	0.0206759100992285	0.0208129483008705	0.0204569061464327	0.0205528017914136	0.0216787512126466	0.0215468938008364	0.0198465061804475	0.0215598858595532	0.0207252700799968
Blautia massiliensis	0	0	0	0	0	0	0	0	0
Blautia obeum	0.016480586952197	0.0181055381729174	0.0173517101477093	0.0172574054765708	0.0173210684613942	0.0174487799288027	0.0163075723045369	0.0167880563233765	0.0168079310691237
Blautia producta	0.00860853412813201	0.00893322868172613	0.00844815552033518	0.00964759415771101	0.00970133316969112	0.00921094719674613	0.00932197193213464	0.0101453517879492	0.0101753291678563
Blautia schinkii	6.84322840797904e-05	8.46208186146561e-05	0	0	6.95571428534888e-05	9.49259474485137e-05	0	0	0
Blautia sp. N6H1-15	0	0	0	0	0	3.71219788730437e-05	0	0	0
Blautia sp. SC05B48	0.016884202882225	0.018721530501456	0.0177525374444774	0.0181088204109807	0.0183458269255019	0.018292954328873	0.0177954809384457	0.0189042332337586	0.0185694715743722
Blautia sp. YL58	8.70202710829493e-05	0	0	7.2783938236488e-05	8.92834450241021e-05	6.76802707212872e-05	0	0	0
Blautia stercoris	0.00353414734502114	0.00432274373627612	0.00442734793574988	0.00449803818567064	0.00413085844701574	0.00447516555512173	0.00421826037305735	0.0039369528950215	0.00408316345929924
Blautia wexlerae	0.0381797721626601	0.039454534230007	0.0386941274253967	0.0394402914354072	0.0392180343522508	0.0397031040674489	0.0376026035360954	0.0386583123453717	0.0385514701557501
Butyricicoccus faecihominis	0.00123787978709143	0.00111388557651012	0.00125578183600683	0.00131047591139299	0.00122249799444457	0.00133638037537766	0.00108225609493635	0.0010957153499092	0.000998846443882354
Butyricicoccus pullicaecorum	0.000137573312924733	8.25831776007098e-05	8.83833826315461e-05	9.74381733804175e-05	6.68975497326327e-05	0.000107478753140706	0	0	0.0001366559419671
Butyricimonas faecalis	0.00018154076528071	0.000163981669490268	0.000144448245714069	6.74692698559952e-05	0.000120301168989919	9.02306893327494e-05	0.00019332521384178	0.000255061374143153	0.00028340367817488
Butyricimonas virosa	0.000118940003950059	0.000115694099497547	0	0	6.64821686700341e-05	5.23919370192549e-05	0.000142450121933556	0	0
Butyrivibrio crossotus	0	0	0	0	4.80386282354982e-05	6.2292725679742e-05	0	0	0
Caecibacterium sporoformans	0.000334340220332085	0.000230850600413075	0.000255776924271698	0.000231949458064556	0.000239503037280784	0.000249658914629947	0.000268330378300491	0.000260217185577581	0.000379944348215397
Caloranaerobacter azorensis	0.000161788017911928	0.000129580428906645	0.000121795329626553	0.000176332534215765	0.000217820105478987	0.00016437147373584	0	0.000138158241991147	0
Candidatus Cibiobacter qucibialis	0	0	0	0	0	0	0	0	0
Candidatus Gastranaerophilales bacterium	0	0	0	0	0	0	0	0	0
Caproiciproducens galactitolivorans	0.000605980904090248	0.000675705729131668	0.000978930972119588	0.000751867831320303	0.000552941335394203	0.000785732781630158	0.000791868749706412	0.000852307261711692	0.000807089877003455
Caproiciproducens sp. NJN-50	0.00308190913421658	0.0027077273029157	0.00272970987752768	0.00313503430889486	0.0031466772613926	0.00311482390737167	0.00289422711516824	0.00236932155326176	0.0027879428446279
Catabacter hongkongensis	0.000628392875516025	0.000591582903527199	0.000649090494522304	0.000585797709560088	0.000639973219731398	0.000598460465646985	0.000688973624528579	0.00055955499106834	0.000598317294368322
Christensenella massiliensis	0.00651894241413398	0.00614780008708212	0.00639680233696353	0.00704741012833577	0.00691803137083703	0.00711655126514747	0.00604458436656579	0.00549722353786327	0.00589154117987826
Christensenella minuta	0.0011094107622785	0.00110109509963476	0.000964004388226417	0.00136046058959233	0.00136519389023037	0.0013012991339014	0.000939859939991755	0.00109906983984324	0.000992773176238581
Christensenella sp. Marseille-P3954	0.00589469027414969	0.00560384065988284	0.00617217517552009	0.00660973389453501	0.00599467810739392	0.00634945561074093	0.00561837281954438	0.00483091155861741	0.00544776494015472
Christensenella timonensis	8.71058200445832e-05	0.000112701074311792	0.000117286223479964	0.000152364076661433	0.000119228361997013	8.62689881146958e-05	0	0	0.000183091876251005
Clostridia bacterium UC5.1-1D4	0	0	0	0	0	0	0	0	0
Clostridia bacterium UC5.1-1E11	0	0	0	0	0	0	0	0	0
Clostridiaceae bacterium AM27-36LB	0	0	0	0	0	0	0	0	0
Clostridiaceae bacterium OM08-6BH	0	0	0	0	0	0	0	0	0
Clostridiales bacterium	8.70444695678093e-05	7.38526821498504e-05	9.46031090755796e-05	0	5.36455595764657e-05	0	0.000215311415830567	0.000183009457478757	0
Clostridiales bacterium CCNA10	0.000409820846089986	0.000390127698774281	0.000405887442587902	0.000440100261766511	0.000460877066814661	0.000426295183931283	0.000295247336685185	0.00033068971345	0.000378223087611246
Clostridiales bacterium UBA1390	0	0	0	0	0	0	0	0	0
Clostridiales bacterium UBA4696	0	0	0	0	0	0	0	0	0
Clostridiales bacterium VE202-03	0	0	0	0	0	0	0	0	0
Clostridioides difficile	0	0	0	0	0	3.73974812457199e-05	0	0	0
Clostridium beijerinckii	0	0	0	0	6.60463964966233e-05	5.0639761398385e-05	0	0	0
Clostridium chartatabidum	0.000500801282051506	0.000433979641532816	0.000410537119398012	0.000506019523919964	0.000516464358192012	0.000484498494310139	0.000396825801138969	0.000542005420054201	0.000526321116610492
Clostridium disporicum	0.00012742755328533	0.000119579132529124	0.000176010085558347	0.00017830751005537	0.000124652644603564	0.00011310260430868	0.000142924056871045	0	0
Clostridium jeddahense	0	0	0.000101009483053499	9.91327694900229e-05	4.88592487442277e-05	7.38103399033078e-05	0	0	0
Clostridium merdae	0.00013502812554462	9.49368136765184e-05	0	0.000129218403465012	0.000145153405045675	0.000142817089669407	0	0.000149253881542374	0.000132489712044781
Clostridium perfringens	0	5.30419561873442e-05	0	4.2168293659997e-05	3.16581928237208e-05	4.36599876587768e-05	0	0	0
Clostridium phoceensis	0	0	0	0	0	0	0	0	0
Clostridium saudiense	0.00310900073197091	0.00264824658124684	0.00262932689699369	0.00293769234180168	0.00300317771139323	0.00294642785835003	0.00260432828606813	0.00234869015304903	0.00243929594429094
Clostridium sp. BNL1100	0.000260595083710515	0.000354771982963009	0.000318851854468522	0.000397687241920041	0.00031253854697407	0.000408936933805195	0.000326418284971678	0.00046951208143133	0.000322842544501222
Clostridium sp. SY8519	7.61818311380673e-05	0	0	0	7.11296835259543e-05	5.36350872715922e-05	0	0	0
Clostridium sporogenes	0.000594877572663493	0.000878704542226274	0.000917522999118413	0.00123481175965039	0.00131656579912654	0.00126499970617145	0.00205341492414667	0.00197869835064439	0.0016144561001701
Colidextribacter massiliensis	0.00144521464013942	0.00130214071444986	0.0012808806203552	0.0012504770328724	0.00129337822844891	0.00124070258897798	0.001472429419812	0.00109468710178536	0.00109337281033252
Collinsella aerofaciens	0.00323016826923077	0.00343326116412628	0.0020602881362375	0.000231925615129983	0.000221607349766028	0.000171729284791189	0.00212657712657713	0.0023805728253361	0.00183200234820191
Collinsella intestinalis	0.000306772350621741	0.000265198783801923	0.000250883795187593	0	3.16581928237208e-05	0	0.000172975172975173	0.000286944045911048	0.000172066518891892
Coprobacter fastidiosus	8.13802083333333e-05	0	0	0	0	3.2017324283103e-05	0	0	0
Coprococcus catus	0.00180288461538462	0.00178413852640643	0.00168059574995821	0.00161102107001127	0.00180744719861557	0.00171072057434207	0.00134310134310135	0.00158350603113874	0.00174091844001448
Coprococcus comes	0.00602272052518541	0.00645186230828479	0.00578460576310443	0.00630695930020012	0.00601621085703876	0.0063263172125735	0.00591374057423387	0.00620504093337396	0.0060742537801885
Coprococcus eutactus	0.00129339566834328	0.00131190303996517	0.00103677978332249	0.00130833805007073	0.00128889493266032	0.00125631277370851	0.00112832052819449	0.00144777959898945	0.00127738104556293
Coprococcus phoceensis	0	0	0	0	0	0	0	0	0
Coriobacteriia bacterium	0	0	0	0	0	0	0	0	0
Cuneatibacter caecimuris	0.0171998396764717	0.0166478935142327	0.0167034435313106	0.00579293970541519	0.0049424420846092	0.00539563176831196	0.0191457413277616	0.0220796063444541	0.0221712479697971
Dehalobacterium formicoaceticum	0.000106420272435897	0.00011090590839172	0.000114038088721633	0.000105420734149992	0.000126632771294883	0.000162997287259433	0	0.000116903129815612	0
Desulfonispora thiosulfatigenes	8.94392986081421e-05	0.000169232850006616	0.000171828155873992	0.00012141582157021	0.000124869512888141	7.08837269453816e-05	0.000161477981790076	0.00014665661022309	0.000101473851351955
Desulfovibrio desulfuricans	0.000106074340322481	0.000142812721437369	0.000182460941954613	0	5.38189278003254e-05	0	0.000172996662093396	0.000244433816887189	0.000232795878500795
