id;alias;instrumentModel;firstCreated;firstPublic;releaseStatus;submissionAccountId;studyId;experimentId;sampleId
ERR12020588;"ena-RUN-TAB-04-09-2023-23:03:38:313-2643";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404516;ERS15987673
ERR12020587;"ena-RUN-TAB-04-09-2023-23:03:38:312-2641";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404515;ERS15987671
ERR12020586;"ena-RUN-TAB-04-09-2023-23:03:38:312-2639";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404514;ERS15987669
ERR12020585;"ena-RUN-TAB-04-09-2023-23:03:38:312-2637";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404513;ERS15987667
ERR12020584;"ena-RUN-TAB-04-09-2023-23:03:38:311-2635";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:38;PUBLIC;Webin-42996;ERP144665;ERX11404512;ERS15987665
ERR12020583;"ena-RUN-TAB-04-09-2023-23:03:38:311-2633";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404511;ERS15987663
ERR12020582;"ena-RUN-TAB-04-09-2023-23:03:38:311-2631";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404510;ERS15987661
ERR12020581;"ena-RUN-TAB-04-09-2023-23:03:38:310-2629";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:35;PUBLIC;Webin-42996;ERP144665;ERX11404509;ERS15987659
ERR12020580;"ena-RUN-TAB-04-09-2023-23:03:38:310-2627";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404508;ERS15987657
ERR12020579;"ena-RUN-TAB-04-09-2023-23:03:38:310-2625";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404507;ERS15987655
ERR12020578;"ena-RUN-TAB-04-09-2023-23:03:38:309-2623";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404506;ERS15987653
ERR12020577;"ena-RUN-TAB-04-09-2023-23:03:38:309-2621";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:38;PUBLIC;Webin-42996;ERP144665;ERX11404505;ERS15987651
